A,B,C,D,E
61,24,81,70,30
92,96,84,84,97
33,12,31,62,11
97,39,47,11,73
69,30,42,85,67
31,98,58,68,51
69,89,24,71,71
56,71,60,64,73
12,60,16,30,82
48,27,13,98,69
23,18,99,62,11
93,69,80,53,17
56,44,87,90,45
59,13,11,15,63
13,63,72,27,99
53,43,83,71,23
57,24,81,87,96
71,49,94,89,91
62,33,35,98,69
50,38,24,54,74
98,80,18,97,10
17,97,72,20,90
17,44,44,42,14
50,37,16,82,81
21,43,42,57,32
71,97,46,53,95
44,74,56,87,12
10,14,99,23,36
18,88,24,99,51
86,60,72,61,13
32,24,52,38,45
22,41,80,68,95
37,75,51,54,71
66,15,37,37,53
93,39,71,84,98
71,10,36,71,86
12,79,81,36,18
71,46,60,53,33
88,68,41,97,61
71,67,61,21,48
11,12,65,90,68
11,11,63,96,10
28,11,62,53,99
41,79,41,77,64
84,65,26,47,33
78,79,95,20,25
82,68,79,89,12
29,68,45,28,99
76,28,29,80,61
42,49,48,91,10
20,66,98,59,32
40,51,16,25,99
69,11,10,57,21
78,46,41,18,28
57,89,12,29,33
63,42,33,84,81
45,47,93,98,34
27,91,75,63,44
89,70,50,42,77
42,23,30,57,29
17,16,76,26,42
57,85,68,95,31
39,47,60,63,17
36,36,30,39,37
73,78,70,57,28
13,44,73,58,26
53,39,55,15,46
33,55,62,69,72
94,41,96,42,76
27,34,63,67,76
55,33,41,56,95
32,75,36,11,99
26,42,18,52,57
48,51,35,59,34
33,22,69,16,66
45,54,29,74,17
25,23,85,96,24
75,41,96,72,95
60,34,67,72,71
31,67,67,95,58
61,51,79,24,63
69,17,62,69,14
77,15,56,64,49
61,25,22,39,28
26,72,28,67,64
99,99,71,32,18
21,10,67,10,43
57,98,10,25,70
73,72,78,31,76
85,35,25,60,95
66,38,87,78,56
71,78,85,25,99
99,57,94,48,42
32,19,78,43,61
19,28,67,10,78
13,25,33,89,11
41,93,33,21,59
44,42,42,70,60
52,21,76,74,42
49,83,52,53,38
